Company,LinkedIn URL,Company URL,Employees,Followers,Tags,Short Description,Long Description,
Shopify,https://linkedin.com/company/shopify/,https://shopify.com/,10k+,790k,Ecommerce,Make commerce better for everyone,"Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are e ... see more",
Stan,https://linkedin.com/company/stanwithme/,https://stan.store/,11-50,8k,Ecommerce,Empowering Creators to Become Entrepreneurs.,"Stan is the only creator monetization tool built for creators, by creators. 

We know just how hard it is to create content fulltime, so we've built you a one-stop-shop to run your coaching bookings, recurring membership, and passive income all in one place.",
Sibli AI ,https://linkedin.com/company/sibliai/,https://sibli.ai/,11-50,1k,"Finance, AI",Investment Research Technology for Discerning Investors.,"Institutional investors leverage our technology to secure an information advantage, uncover blind spots, and improve performance. The technology processes unstructured data, identifies key insights, and delivers them to portfolio managers and analysts, empowering them to make better investment decisions.","Institutional investors leverage our technology to secure an information advantage, uncover blind spots, and improve performance. The technology processes unstructured data, identifies key insights, and delivers the ... see more"
Lumi AI,https://linkedin.com/company/lumi-ai/,https://lumi-ai.com/,2-10,1k,"Analytics, AI",Instant AI-Powered Insights using Natural Language,"Lumi is an AI-powered enterprise analytics platform.

We use generative AI to automate the process of writing the SQL queries needed to extract custom insights and reports from operational databases and data warehouses.

This empowers users with the ability to instantly extract insights, generate custom reports, and run statistical models using plain language (no coding required).

Lumi allows organizations to:

🔹 Boost productivity. Make better, faster data-driven decisions.
🔹 Uncover Hidden Value. Pinpoint operational inefficiencies and untapped potential within seconds.
🔹 Free up technical teams. Redirect focus from ad-hoc requests to strategic initiatives.

Interested to learn more?
Visit lumi-ai.com or reach out to us at info@lumi-ai.com to connect.",
WealthSimple,https://linkedin.com/company/wealthsimple/,https://wealthsimple.com/,501-1k,124k,Finance,"All of your investing, made simple.",,
Flipp,https://linkedin.com/company/flipp/,https://flipp.com/,201-500,32k,"Shopping, Consumer",Helping shoppers provide for their families by making life more affordable.,"Flipp is a retail technology company that is reinventing the way people shop. We help our partners redefine how shoppers discover products and make purchasing decisions in a digitally driven world. We do this by connecting North America’s best retailers and CPG manufacturers to millions of high intent shoppers each week, sharing savings and deals content to help make life more affordable. Our award-winning Flipp app is used by millions of shoppers every week to make better purchase decisions to save on their weekly shopping.",
Untether AI,https://linkedin.com/company/untether-ai/,https://untether.ai/,51-200,7k,"Hardware, AI",Accelerating the Future of AI,"Untether AI delivers energy-centric AI inference acceleration from the edge to the cloud, supporting any type of neural network model. Founded in 2018 with a mission to break AI out of data centers and make it available all the way to the network edge, we’ve developed a unique at-memory architecture for deep learning that places the processing next to the memory – minimizing data movement and power consumption. Using our hardware, enterprises become untethered from the data center, free to run AI workloads nearly anywhere.

Other AI inference accelerator companies make promises; Untether AI makes products.
",
Wattpad,https://linkedin.com/company/wattpad/,https://company.wattpad.com/,201-500,43k,"Storytelling, Consumer",Where stories live.,"Wattpad. Where Stories Live.

Wattpad’s vision is to entertain and connect the world through stories. A leading social storytelling platform and home to a community of more than 94 million people who spend over 23 billion minutes a month engaged in original stories, Wattpad has democratized storytelling for a new generation of diverse Gen Z writers and their fans. Alongside Wattpad WEBTOON Studios, the company’s TV, film, and publishing counterparts, Wattpad combines art and science to unearth incredible stories and cultivate the fandoms driving the future of entertainment. The company is proudly based in Toronto, Canada.

Learn more at: company.wattpad.com",
Borrowell,https://linkedin.com/company/borrowell/,https://borrowell.com/,51-200,32k,Finance,Our mission is to make financial prosperity possible for everyone.,"Borrowell is a Canadian company with a single goal in mind: to make financial prosperity possible for everyone. The first in Canada to offer free credit scores and rent payment reporting, Borrowell provides educational resources, monitoring, innovative digital tools, and personalized product recommendations to help people feel in control and optimistic about their financial future. Our data shows that Borrowell members reported up to a 100-point increase in their credit score after one year of using select Borrowell products.

With more than 3 million members, Borrowell is one of the largest fintech companies in Canada. We’re proud to have been named as one of the Best Workplaces in Canada every year since 2019, Globe and Mail’s Top Growing Companies (2021), LinkedIn’s Top 15 Startups in Canada (2021), and CB Insights’ Top 250 Fintechs (2021).

To support us on our mission, we’re building an exceptional team of high-performing yet humble individuals who believe Canadians deserve more choice when it comes to financial services.

Put simply, we put people first. We place a high value on building a diverse and inclusive workplace and are proud to have a gender-balanced team. We know that diverse teams perform better; half of our team identify as women or non-binary.

We’re always on the lookout for passionate and driven people. If you think you’d be a great fit at Borrowell, read on to learn more about us and how our business works!",
Ritual.co,https://linkedin.com/company/ritual-co/,https://ritual.co/,51-200,13k,Restaurants,We're for restaurants and the people who love them,"Ritual is a social ordering app that taps networks of co-workers and colleagues for fast and easy pick up and pay at a wide variety of local restaurants and coffee shops. 

With Ritual, users can mobile order and pay at all their favorite local eateries and coffee shops and have it ready to pick up when they arrive. By also uniquely giving friends and colleagues the ability to add their own food orders onto an existing order, Ritual gives customers the choice of either picking up themselves or having their food brought right to their desk. This ‘social ordering’ saves customers time and drives incremental orders for merchants. The best and busiest quick service restaurants and coffee shops in major cities across North America are using Ritual to give them a competitive, technological edge, driving profitability, and a more personalized way to connect with their customers.",
